clip_pair_cosdist,clip_var,dino_pair_cosdist,dino_var,lpips_pair,latent_mse_pair,pixel_mse_pair,clip_dist_to_ref,dino_dist_to_ref,lpips_to_ref,class_id,mode,k,noise_type,t_frac,t_idx,start_idx
0.1489683836698532,0.1397225707769394,0.48816314339637756,0.4576572775840759,0.6823636293411255,1.4027655124664307,0.14824746549129486,0.183522030711174,0.508547306060791,0.6597217321395874,207,denoise,0,gaussian,0.1,224,224
0.007659074384719133,0.007233771029859781,0.022427188232541084,0.02102731540799141,0.07098186016082764,0.0439898744225502,0.004768264479935169,0.164308100938797,0.4707149863243103,0.686049222946167,207,perturb,1,gaussian,0.1,224,225
0.015620872378349304,0.014571775682270527,0.032373588532209396,0.030346781015396118,0.08920781314373016,0.0637555718421936,0.0064834002405405045,0.16911903023719788,0.46518465876579285,0.6829835772514343,207,perturb,2,gaussian,0.1,224,226
0.05853315442800522,0.05491849035024643,0.1928783506155014,0.18082982301712036,0.3114490807056427,0.3103705048561096,0.027192402631044388,0.17539168894290924,0.482552707195282,0.6830288767814636,207,perturb,5,gaussian,0.1,224,229
0.12028516083955765,0.11279575526714325,0.4067358672618866,0.3813175559043884,0.6429228782653809,1.221125841140747,0.11012808978557587,0.17898038029670715,0.49436232447624207,0.6240780353546143,207,denoise,0,gaussian,0.3,174,174
0.03295423835515976,0.030887488275766373,0.2054409384727478,0.19259324669837952,0.31184250116348267,0.2785533368587494,0.027984099462628365,0.15125328302383423,0.43981465697288513,0.608504056930542,207,perturb,1,gaussian,0.3,174,175
0.05368497222661972,0.050321873277425766,0.279924213886261,0.2624257504940033,0.3565748333930969,0.34216538071632385,0.03374417498707771,0.1554691046476364,0.4242117404937744,0.6094411611557007,207,perturb,2,gaussian,0.3,174,176
0.07554265856742859,0.07082529366016388,0.32348188757896423,0.30325746536254883,0.45178619027137756,0.5292348861694336,0.055066127330064774,0.1630597710609436,0.4358718693256378,0.6049475073814392,207,perturb,5,gaussian,0.3,174,179
0.16456815600395203,0.15422344207763672,0.31742313504219055,0.29758113622665405,0.4583192467689514,0.8004745244979858,0.04608083888888359,0.1550820767879486,0.3648582994937897,0.4340711236000061,207,denoise,0,gaussian,0.5,124,124
0.05456193536520004,0.05118232220411301,0.11844216287136078,0.11103807389736176,0.21925778687000275,0.204466313123703,0.016404669731855392,0.13348478078842163,0.41293978691101074,0.4302772581577301,207,perturb,1,gaussian,0.5,124,125
0.08877212554216385,0.08318427205085754,0.186029851436615,0.17440827190876007,0.2934211194515228,0.278954416513443,0.023183466866612434,0.1257096230983734,0.3867992162704468,0.42907845973968506,207,perturb,2,gaussian,0.5,124,126
0.10127545148134232,0.09494522213935852,0.27998626232147217,0.26249760389328003,0.35957300662994385,0.3698626458644867,0.03251570090651512,0.13001787662506104,0.3780179023742676,0.44716522097587585,207,perturb,5,gaussian,0.5,124,129
0.056696441024541855,0.053089819848537445,0.17631277441978455,0.16527646780014038,0.24699687957763672,0.4251249432563782,0.01567625254392624,0.04975353926420212,0.15362083911895752,0.23698322474956512,207,denoise,0,gaussian,0.7,75,75
0.08818896114826202,0.08267343044281006,0.08285549283027649,0.07767694443464279,0.09276751428842545,0.04482271894812584,0.0029365173541009426,0.09922569990158081,0.18488994240760803,0.25828468799591064,207,perturb,1,gaussian,0.7,75,76
0.09565559029579163,0.08970916271209717,0.09444685280323029,0.08854464441537857,0.11805059760808945,0.061659738421440125,0.004070809576660395,0.10058864951133728,0.18776972591876984,0.26354914903640747,207,perturb,2,gaussian,0.7,75,77
0.09744436293840408,0.09134796261787415,0.11086402833461761,0.1039506122469902,0.1569625437259674,0.09368985146284103,0.006329767405986786,0.10178111493587494,0.19973719120025635,0.271582692861557,207,perturb,5,gaussian,0.7,75,80
0.019263580441474915,0.01808675192296505,0.06374625116586685,0.05975548177957535,0.11743072420358658,0.10953725874423981,0.004748847801238298,0.015134837478399277,0.060098446905612946,0.11750553548336029,207,denoise,0,gaussian,0.9,25,25
0.003870053216814995,0.0036309428978711367,0.009402299299836159,0.008821164257824421,0.018063966184854507,0.007089982740581036,0.0004507272969931364,0.012757383286952972,0.05902846157550812,0.11862140893936157,207,perturb,1,gaussian,0.9,25,26
0.007662477437406778,0.007158048450946808,0.014879406429827213,0.013952763751149178,0.029584595933556557,0.013899240642786026,0.0008031901670619845,0.013828776776790619,0.06130637601017952,0.12086205929517746,207,perturb,2,gaussian,0.9,25,27
0.014178820885717869,0.01323497574776411,0.02505628950893879,0.023485153913497925,0.05398140102624893,0.03307286277413368,0.0016336864791810513,0.01683083549141884,0.07012877613306046,0.1274750977754593,207,perturb,5,gaussian,0.9,25,30
0.07626289129257202,0.071509450674057,0.286868155002594,0.2689259648323059,0.7246928215026855,1.5900241136550903,0.18468308448791504,0.0969347432255745,0.37676894664764404,0.7221815586090088,88,denoise,0,gaussian,0.1,224,224
0.012367635034024715,0.01151819247752428,0.024166179820895195,0.022646235302090645,0.10126786679029465,0.07988304644823074,0.008050604723393917,0.09237706661224365,0.4116099774837494,0.7256754636764526,88,perturb,1,gaussian,0.1,224,225
