clip_pair_cosdist,clip_var,dino_pair_cosdist,dino_var,lpips_pair,latent_mse_pair,pixel_mse_pair,clip_dist_to_ref,dino_dist_to_ref,lpips_to_ref,class_id,mode,k,noise_type,t_frac,t_idx,start_idx
0.12998715043067932,0.11380555480718613,0.18791760504245758,0.1644166111946106,0.6601003408432007,1.4780679941177368,0.13951252400875092,0.13495750725269318,0.1405554711818695,0.69800865650177,63,denoise,0,gaussian,0.3,174,174
0.020523887127637863,0.01798727735877037,0.02688951976597309,0.023531481623649597,0.1809045672416687,0.2479105144739151,0.024698840454220772,0.12395954132080078,0.0909002274274826,0.7255325317382812,63,perturb,1,gaussian,0.3,174,175
0.05829454958438873,0.05104755237698555,0.07009671628475189,0.06133203208446503,0.2910296618938446,0.4326404929161072,0.04088515788316727,0.12906238436698914,0.10444149374961853,0.7240666151046753,63,perturb,2,gaussian,0.3,174,176
0.07450082898139954,0.06516951322555542,0.11881443858146667,0.10396195948123932,0.40174439549446106,0.6129827499389648,0.05836663395166397,0.12245668470859528,0.11612784117460251,0.7098945379257202,63,perturb,5,gaussian,0.3,174,179
0.11363013088703156,0.09943988174200058,0.10007618367671967,0.08757967501878738,0.39756593108177185,0.922696590423584,0.07071351259946823,0.1092485710978508,0.08261959254741669,0.40352529287338257,63,denoise,0,gaussian,0.5,124,124
0.07401837408542633,0.0647532120347023,0.057532329112291336,0.050353921949863434,0.18972374498844147,0.22638073563575745,0.025858597829937935,0.1372247189283371,0.11696082353591919,0.42041000723838806,63,perturb,1,gaussian,0.5,124,125
0.07982628047466278,0.06980259716510773,0.07621347159147263,0.06668926030397415,0.23632323741912842,0.2798967957496643,0.030956469476222992,0.130869060754776,0.12609121203422546,0.4443778991699219,63,perturb,2,gaussian,0.5,124,126
0.10523770749568939,0.09214600920677185,0.0767635852098465,0.0671594962477684,0.3225442171096802,0.441358357667923,0.050149258226156235,0.14045298099517822,0.11754811555147171,0.46571651101112366,63,perturb,5,gaussian,0.5,124,129
0.046209659427404404,0.04046056419610977,0.03929082304239273,0.03438564017415047,0.21954816579818726,0.39445415139198303,0.021590182557702065,0.061516858637332916,0.03394559025764465,0.24560409784317017,63,denoise,0,gaussian,0.7,75,75
0.007174264639616013,0.00630018999800086,0.005446151364594698,0.004750506021082401,0.024598481133580208,0.018330778926610947,0.002378370612859726,0.06901364773511887,0.04553940147161484,0.24399763345718384,63,perturb,1,gaussian,0.7,75,76
