class_id,bin,t_centre,U_ens,U_attn
207,0,25,0.5086220502853394,3.562583031824657
207,1,75,0.47633169293403627,3.6206970844949993
207,2,125,0.43761578798294065,3.6656422776835305
207,3,175,0.3963299572467804,3.7166092353207723
207,4,225,0.3583597600460052,3.75902013693537
207,5,275,0.320091050863266,3.783924607719693
207,6,325,0.27801517844200135,3.8637792451041086
207,7,375,0.23845328390598297,3.9642917718206134
207,8,425,0.20521898567676544,4.045717068229402
207,9,475,0.1897350937128067,4.110753872564861
207,10,525,0.15477642714977263,4.16436311347144
207,11,575,0.11233552992343902,4.284054794481823
207,12,625,0.07888548821210861,4.415855175256729
207,13,675,0.053351495414972305,4.506137414489475
207,14,725,0.04169503375887871,4.612300924743925
207,15,775,0.027414686977863312,4.769053850855146
207,16,825,0.01631587538868189,4.956860303878784
207,17,875,0.014530442096292973,5.0914247359548295
207,18,925,0.02241196930408478,5.1950399194444925
207,19,975,0.04876667335629463,5.26149765763964
360,0,25,0.49989598989486694,3.6026524228709085
360,1,75,0.47041800022125246,3.6562076517513815
360,2,125,0.43309932947158813,3.7202068822724477
360,3,175,0.38896182775497434,3.7704279797417777
360,4,225,0.34587073922157285,3.8123235600335255
360,5,275,0.303700202703476,3.8628926515579223
360,6,325,0.2542951494455338,3.9029946906226023
360,7,375,0.21493855714797974,3.961688020399639
360,8,425,0.17972727715969086,3.988004368543625
360,9,475,0.15756121575832366,4.026793020112175
360,10,525,0.13100295811891555,4.069186909709657
360,11,575,0.09043620824813843,4.220673200062343
360,12,625,0.06476019322872162,4.445184799603053
360,13,675,0.048383963853120805,4.543920230013983
360,14,725,0.03136247061192989,4.654052778652736
360,15,775,0.02146935947239399,4.8141524178641175
360,16,825,0.015779084339737893,5.003861226354326
360,17,875,0.014500414580106735,5.1371780157089235
360,18,925,0.024859178811311722,5.2342769316264555
360,19,975,0.05377788171172142,5.291785873685564
974,0,25,0.4900087833404541,3.6154326949800764
974,1,75,0.46524965167045595,3.692700044597898
974,2,125,0.4368359386920929,3.7591728968279705
974,3,175,0.40567036867141726,3.8107348884855
974,4,225,0.3791384816169739,3.858368745871952
974,5,275,0.3519074499607086,3.8981989136763984
974,6,325,0.3182827115058899,3.938410420077188
974,7,375,0.28999462723731995,3.961029538086483
974,8,425,0.25755355656147005,3.989994027784893
974,9,475,0.2422116905450821,4.039137174401965
974,10,525,0.21711293756961822,4.114365298407419
974,11,575,0.16734174489974976,4.195857125520706
974,12,625,0.12231584936380387,4.283535676343101
974,13,675,0.09022470116615296,4.395420794827598
974,14,725,0.08577213436365128,4.551970665795462
974,15,775,0.05624461099505425,4.7334752610751565
974,16,825,0.024015258625149728,4.928919233594622
974,17,875,0.019418462365865707,5.071345552376338
974,18,925,0.029571040719747543,5.180918417658125
974,19,975,0.06226478442549706,5.252608094896589
