class_id,tier,kid,mode,kind,param,magnitude,level,t_frac,t_idx,s,clip_dev,dino_dev,lpips_dev,latmse_dev,equivariance_lpips,clip_pair_cosdist,dino_pair_cosdist,lpips_pair,latent_mse_pair
63,hardest,0.0875,sweep,rotation,0.0,0.0,,0.3,174,75,1.2218952178955078e-05,5.9604644775390625e-06,5.977923865430057e-05,2.369786125200335e-05,5.977923865430057e-05,,,,
63,hardest,0.0875,sweep,rotation,5.0,5.0,,0.3,174,75,0.03994852304458618,0.03649836778640747,0.2385207861661911,0.36093705892562866,0.28831493854522705,,,,
63,hardest,0.0875,sweep,rotation,10.0,10.0,,0.3,174,75,0.01727396249771118,0.013827383518218994,0.07583968341350555,0.10242241621017456,0.2514658570289612,,,,
63,hardest,0.0875,sweep,rotation,20.0,20.0,,0.3,174,75,0.04976838827133179,0.07979440689086914,0.4083757698535919,0.7341159582138062,0.530742883682251,,,,
63,hardest,0.0875,sweep,rotation,30.0,30.0,,0.3,174,75,0.055190324783325195,0.09721076488494873,0.4470026195049286,0.7971779108047485,0.5769464373588562,,,,
63,hardest,0.0875,sweep,rotation,45.0,45.0,,0.3,174,75,0.057569146156311035,0.06838274002075195,0.4574888050556183,0.863547682762146,0.6197249293327332,,,,
63,hardest,0.0875,ensemble,rotation,,10.0,10.0,0.3,174,75,,,,,,0.055686093866825104,0.09537991136312485,0.26764512062072754,0.3873244524002075
63,hardest,0.0875,ensemble,rotation,,20.0,20.0,0.3,174,75,,,,,,0.08935018628835678,0.12089656293392181,0.3932730257511139,0.5968140959739685
63,hardest,0.0875,ensemble,rotation,,30.0,30.0,0.3,174,75,,,,,,0.11827442049980164,0.24993136525154114,0.48015856742858887,0.7379284501075745
63,hardest,0.0875,sweep,translation,0.0,0.0,,0.3,174,75,1.2218952178955078e-05,5.9604644775390625e-06,5.977923865430057e-05,2.369786125200335e-05,5.977923865430057e-05,,,,
63,hardest,0.0875,sweep,translation,1.0,1.0,,0.3,174,75,0.0197870135307312,0.024571657180786133,0.1919766366481781,0.3085477650165558,0.24201403558254242,,,,
63,hardest,0.0875,sweep,translation,2.0,2.0,,0.3,174,75,0.02758890390396118,0.035913944244384766,0.2438662052154541,0.3882325291633606,0.3403407335281372,,,,
63,hardest,0.0875,sweep,translation,4.0,4.0,,0.3,174,75,0.0654374361038208,0.08070826530456543,0.3820172846317291,0.7007813453674316,0.49535223841667175,,,,
63,hardest,0.0875,sweep,translation,6.0,6.0,,0.3,174,75,0.11355268955230713,0.1117786169052124,0.660347580909729,1.1939976215362549,0.7076601386070251,,,,
63,hardest,0.0875,sweep,translation,8.0,8.0,,0.3,174,75,0.06913495063781738,0.09733283519744873,0.49154898524284363,0.838045597076416,0.6324247717857361,,,,
63,hardest,0.0875,ensemble,translation,,2.0,2.0,0.3,174,75,,,,,,0.06792641431093216,0.08928821980953217,0.3584182858467102,0.5461964011192322
63,hardest,0.0875,ensemble,translation,,4.0,4.0,0.3,174,75,,,,,,0.05808727443218231,0.07707493752241135,0.34926837682724,0.6046377420425415
63,hardest,0.0875,ensemble,translation,,6.0,6.0,0.3,174,75,,,,,,0.08339282125234604,0.1128469929099083,0.45052745938301086,0.8149339556694031
63,hardest,0.0875,sweep,scaling,0.8,0.2231435513142097,,0.3,174,75,0.03331923484802246,0.03142601251602173,0.3215811848640442,0.492107093334198,0.39718326926231384,,,,
63,hardest,0.0875,sweep,scaling,0.9,0.10536051565782628,,0.3,174,75,0.028867244720458984,0.04489707946777344,0.27849307656288147,0.3875676393508911,0.26816999912261963,,,,
63,hardest,0.0875,sweep,scaling,1.0,0.0,,0.3,174,75,1.2218952178955078e-05,5.9604644775390625e-06,5.977923865430057e-05,2.369786125200335e-05,5.977923865430057e-05,,,,
63,hardest,0.0875,sweep,scaling,1.1,0.09531017980432493,,0.3,174,75,0.05752164125442505,0.06574660539627075,0.3688639998435974,0.711030125617981,0.3281646966934204,,,,
63,hardest,0.0875,sweep,scaling,1.25,0.22314355131420976,,0.3,174,75,0.05213022232055664,0.04843735694885254,0.3520931303501129,0.4965420961380005,0.5409693717956543,,,,
