class_id,class_name,difficulty,bin,t_centre,U_ens,U_route,U_attn,U_attn_block0,U_attn_block14,U_attn_block27
951,lemon,easy,0,25,0.7507892480263343,,3.6123980499885895,5.454117114727314,3.79767500437223,3.5462193122276893
951,lemon,easy,1,75,0.7272206495205561,,3.670481289781275,5.42565389474233,3.8669945200284324,3.709753235181173
951,lemon,easy,2,125,0.693398498571836,,3.7234805016727233,5.411227996532734,3.9429779786330004,3.7911206575540395
951,lemon,easy,3,175,0.6545080343882242,,3.775165970836367,5.401506225268046,4.013360957304637,3.8576518495877585
951,lemon,easy,4,225,0.6175138766948993,,3.821885852040826,5.395359699542706,4.076474629915678,3.915213804978591
951,lemon,easy,5,275,0.5785619268814722,,3.8710270587887075,5.391602595647176,4.146535714467366,3.9691750605901084
951,lemon,easy,6,325,0.5420714112428519,,3.9247576286504557,5.391002398270827,4.216463199028602,4.025849342346191
951,lemon,easy,7,375,0.5071981102228165,,3.97915087285496,5.392603596051534,4.287440061569214,4.086527585983276
951,lemon,easy,8,425,0.46106268809391904,,4.053774419721666,5.39774384865394,4.378801602583665,4.158055158761831
951,lemon,easy,9,475,0.4272537554303805,,4.117664429403486,5.404871463775635,4.447763681411743,4.240301450093587
951,lemon,easy,10,525,0.385705163081487,,4.191249665050281,5.413884838422139,4.537242849667867,4.34087332089742
951,lemon,easy,11,575,0.3295857837566963,,4.269457599946431,5.425754913916955,4.636095377115103,4.488309933589055
951,lemon,easy,12,625,0.27365919078389805,,4.359865015461331,5.439256469408671,4.744197964668274,4.706780751546224
951,lemon,easy,13,675,0.2017766684293747,,4.467900259481682,5.454462968386137,4.850087275871863,4.993844289046067
951,lemon,easy,14,725,0.1334801334887743,,4.595600671711422,5.469920873641968,4.961490710576375,5.24983549118042
951,lemon,easy,15,775,0.09518651435008416,,4.751677008775564,5.481986926152156,5.068018949948824,5.405032084538386
951,lemon,easy,16,825,0.05950903178503116,,4.932959810608909,5.4899342854817705,5.182357708613078,5.476678848266602
951,lemon,easy,17,875,0.042023754463745996,,5.086845810596761,5.494331616621751,5.275684393369234,5.500064886533297
951,lemon,easy,18,925,0.03472737284998099,,5.197501080376761,5.4959767659505205,5.353184342384338,5.508021831512451
951,lemon,easy,19,975,0.05183035536454274,,5.271575205928678,5.496678755833552,5.40513119330773,5.511245103982779
950,orange,easy,0,25,0.6987256774535546,,3.6233821638992847,5.456838240990272,3.824413464619563,3.5524106942690334
